IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011327,1920,Babe Ruth,NYY,25,142,457,615,172,73,36,9,54,158,137,150,,80.0,3,,5,,14,14.0,0.376,,,,,,,,,,,0.244,0.13,1.88,0.533,0.849,1.382,0.473,0.365,,,,,,,,,0.601,122.6,194,111.0,1.0,18.2,-5.7,126.3,13.1,,6.0,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-1.5,,25 - 25,109.5,3.3,,,,,,,,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,299,202.0,150,212,435,119.0,,,,,,,,,,,,,,,,,,0,,,,,,13.1
1012021,1920,George Sisler,SLB,27,154,631,692,257,171,49,18,19,137,122,46,,19.0,2,,13,,42,17.0,0.407,,,,,,,,,,,0.066,0.027000000000000003,2.42,0.449,0.632,1.082,0.225,0.401,,,,,,,,,0.497,84.3,164,68.3,6.0,20.5,-6.6,94.8,9.8,,7.7,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,2.9,,27 - 27,71.2,3.7,,,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,81,43.0,126,158,207,131.0,,,,,,,,,,,,,,,,,,0,,,,,,9.8
1006030,1920,Rogers Hornsby,STL,24,149,589,660,218,145,44,20,9,96,94,60,,50.0,3,,8,,12,15.0,0.37,,,,,,,,,,,0.091,0.076,1.2,0.431,0.559,0.99,0.188,0.394,,,,,,,,,0.457,61.2,137,63.1,6.0,19.6,4.6,93.3,9.7,,5.4,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,-2.4,,24 - 24,60.7,2.4,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,138,115.0,131,152,207,134.0,,,,,,,,,,,,,,,,,,0,,,,,,9.7
1012309,1920,Tris Speaker,CLE,32,150,552,674,214,145,50,11,8,137,107,97,,13.0,5,,20,,10,13.0,0.388,,,,,,,,,,,0.14400000000000002,0.019,7.46,0.483,0.562,1.045,0.174,0.388,,,,,,,,,0.486,76.6,154,61.9,3.0,20.0,-3.7,83.1,8.6,,5.6,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-1.7,,32 - 32,60.1,3.6,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,176,30.0,136,140,160,126.0,,,,,,,,,,,,,,,,,,0,,,,,,8.6
1002451,1920,Eddie Collins,CHW,33,153,602,706,224,170,38,13,3,117,76,69,,19.0,2,,33,,20,8.0,0.372,,,,,,,,,,,0.098,0.027000000000000003,3.63,0.438,0.493,0.932,0.121,0.381,,,,,,,,,0.437,55.0,136,41.5,5.0,20.9,4.7,78.2,8.1,,6.8,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,2.2,,33 - 33,43.8,3.8,,,,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,120,42.0,123,123,112,124.0,,,,,,,,,,,,,,,,,,0,,,,,,8.1
1006301,1920,Joe Jackson,CHW,30,146,570,649,218,144,42,20,12,105,121,56,,14.0,7,,16,,9,12.0,0.382,,,,,,,,,,,0.086,0.022000000000000002,4.0,0.444,0.589,1.033,0.207,0.379,,,,,,,,,0.476,69.1,144,56.8,2.0,19.2,-6.3,73.5,7.6,,5.4,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,-1.8,,30 - 30,55.0,3.5,,,,,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,106,33.0,125,147,190,123.0,,,,,,,,,,,,,,,,,,0,,,,,,7.6
1014390,1920,Ross Youngs,NYG,23,153,581,671,204,157,27,14,6,92,78,75,,55.0,2,,13,,18,18.0,0.351,,,,,,,,,,,0.11199999999999999,0.08199999999999999,1.36,0.427,0.477,0.904,0.126,0.381,,,,,,,,,0.426,46.3,124,48.0,3.0,19.9,-6.6,64.5,6.7,,5.7,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,-2.2,,23 - 23,45.7,2.4,,,,,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,169,125.0,129,130,138,130.0,,,,,,,,,,,,,,,,,,0,,,,,,6.7
1014838,1920,Oscar Charleston,ABC,23,92,346,385,122,86,20,11,5,80,59,37,,,2,,13,,20,,0.353,,,,,,,,,,,0.096,,,0.418,0.517,0.936,0.165,,,,,,,,,,0.435,29.4,74,32.1,15.0,11.4,-2.3,62.2,6.4,,7.7,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,4.8,,23 - 23,36.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,114,,126,152,212,,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1000503,1920,Dave Bancroft,- - -,29,150,613,673,183,138,36,9,0,102,36,42,,44.0,2,,16,,8,12.0,0.299,,,,,,,,,,,0.062,0.065,0.95,0.346,0.387,0.732,0.088,0.322,,,,,,,,,0.347,7.0,85,6.2,25.0,20.0,9.3,60.8,6.2,,5.4,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,-2.1,,29 - 29,4.1,2.4,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,95,99.0,105,105,97,110.0,,,,,,,,,,,,,,,,,,0,,,,,,6.2
1011247,1920,Edd Roush,CIN,27,149,579,650,196,154,22,16,4,81,90,42,,22.0,3,,26,,36,24.0,0.339,,,,,,,,,,,0.065,0.034,1.91,0.386,0.453,0.839,0.114,0.347,,,,,,,,,0.394,29.5,105,32.8,8.0,19.3,-3.8,57.3,5.9,,6.8,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,-1.2,,27 - 27,31.5,2.4,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,98,51.0,117,123,125,118.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
