IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1009821,1887,Tip O'Neill,STL,29,124,517,572,225,140,52,19,14,167,123,50,,,5,,,,30,,0.435,,,,,,,,,,,0.087,,,0.49,0.691,1.18,0.255,,,,,,,,,,0.525,96.4,190,89.2,2.0,22.3,-7.7,105.4,8.2,,7.7,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.7,-5.3,,29 - 29,83.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,111,,142,183,262,,,,,,,,,,,,,,,,,,,0,,,,,,8.2
1001554,1887,Pete Browning,LOU,26,134,547,610,220,165,35,16,4,137,118,55,,,8,,,,103,,0.402,,,,,,,,,,,0.09,,,0.464,0.547,1.011,0.144,,,,,,,,,,0.465,71.3,172,64.8,-2.0,23.8,-6.6,92.4,7.1,,8.4,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6,7.4,,26 - 26,72.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,115,,135,145,148,,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1013615,1887,John Ward,NYG,27,129,545,578,184,162,16,5,1,114,53,29,,12.0,4,,,,111,,0.338,,,,,,,,,,,0.05,0.021,2.42,0.375,0.391,0.766,0.053,0.344,,,,,,,,,0.363,15.9,111,17.0,26.0,22.6,8.0,84.5,7.1,,7.2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,10.9,,27 - 27,27.9,0.0,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,70,31.0,113,101,46,120.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1002537,1887,Roger Connor,NYG,29,127,471,554,134,69,26,22,17,113,104,75,,50.0,8,,,,43,,0.285,,,,,,,,,,,0.135,0.09,1.5,0.392,0.541,0.933,0.257,0.29,,,,,,,,,0.418,41.7,133,42.7,14.0,21.6,0.0,78.2,6.4,,8.5,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-0.2,,29 - 29,42.5,0.0,,,,,,,,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,190,137.0,118,139,223,101.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1007371,1887,Arlie Latham,STL,27,136,627,677,198,151,35,10,2,163,83,45,,,5,,,,129,,0.316,,,,,,,,,,,0.066,,,0.366,0.413,0.779,0.097,,,,,,,,,,0.365,19.7,131,11.3,9.0,26.5,4.1,70.6,5.7,,8.0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,14.2,,27 - 27,25.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,85,,107,110,100,,,,,,,,,,,,,,,,,,,0,,,,,,5.7
1007880,1887,Denny Lyons,PHA,21,137,570,623,209,146,43,14,6,128,102,47,,,6,,,,73,,0.367,,,,,,,,,,,0.075,,,0.421,0.523,0.943,0.156,,,,,,,,,,0.432,54.6,157,49.6,-11.0,24.3,4.2,75.4,5.6,,8.4,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8,3.1,,21 - 21,52.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,96,,122,139,160,,,,,,,,,,,,,,,,,,,0,,,,,,5.6
1013024,1887,Sam Thompson,DET,27,127,545,586,203,140,29,23,11,118,166,32,,19.0,9,,,,22,,0.372,,,,,,,,,,,0.055,0.032,1.68,0.416,0.571,0.987,0.198,0.373,,,,,,,,,0.444,57.6,154,55.2,5.0,22.9,-7.8,69.2,5.5,,7.4,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8,-6.1,,27 - 27,49.1,0.0,,,,,,,,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,77,49.0,126,147,172,130.0,,,,,,,,,,,,,,,,,,0,,,,,,5.5
1000272,1887,Cap Anson,CHI,35,122,472,533,164,111,33,13,7,107,102,60,,18.0,1,,,,27,,0.347,,,,,,,,,,,0.113,0.034,3.33,0.422,0.517,0.939,0.169,0.351,,,,,,,,,0.43,46.0,134,37.6,13.0,20.8,0.0,66.9,5.5,,7.5,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,-4.5,,35 - 35,33.0,0.0,,,,,,,,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,158,51.0,127,133,147,123.0,,,,,,,,,,,,,,,,,,0,,,,,,5.5
1004191,1887,Jim Fogarty,PHI,23,126,495,587,129,83,26,12,8,113,50,82,,44.0,10,,,,102,,0.261,,,,,,,,,,,0.14,0.075,1.86,0.376,0.41,0.787,0.149,0.273,,,,,,,,,0.372,20.6,117,16.8,20.0,22.9,-7.2,62.8,5.3,,8.5,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,10.3,,23 - 23,27.1,0.0,,,,,,,,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,196,114.0,114,105,130,95.0,,,,,,,,,,,,,,,,,,0,,,,,,5.3
1001486,1887,Dan Brouthers,DET,29,123,500,577,169,101,36,20,12,153,101,71,,9.0,6,,,,34,,0.338,,,,,,,,,,,0.12300000000000001,0.016,7.89,0.426,0.562,0.988,0.224,0.328,,,,,,,,,0.446,57.5,152,55.1,-6.0,22.5,0.0,68.2,5.2,,8.0,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,-3.5,,29 - 29,51.6,0.0,,,,,,,,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,173,24.0,129,145,194,114.0,,,,,,,,,,,,,,,,,,0,,,,,,5.2
