IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011327,1926,Babe Ruth,NYY,31,152,495,652,184,102,30,5,47,139,150,144,,76.0,3,,10,,11,9.0,0.372,,,,,,,,,,,0.221,0.11699999999999999,1.89,0.516,0.737,1.253,0.366,0.368,,,,,,,,,0.549,106.3,189,101.9,5.0,21.0,-6.6,123.0,11.8,,4.8,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,-3.4,,31 - 31,98.6,5.0,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,240,191.0,143,181,314,121.0,,,,,,,,,,,,,,,,,,0,,,,,,11.8
1004598,1926,Lou Gehrig,NYY,23,155,572,696,179,96,47,20,16,135,112,105,,73.0,1,,18,,6,5.0,0.313,,,,,,,,,,,0.151,0.105,1.44,0.42,0.549,0.969,0.236,0.337,,,,,,,,,0.44,52.7,141,48.0,6.0,22.4,-6.7,72.7,7.0,,6.0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-2.3,,23 - 23,45.7,5.3,,,,,,,,0.27899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,164,171.0,116,135,203,111.0,,,,,,,,,,,,,,,,,,0,,,,,,7.0
1016481,1926,Turkey Stearnes,DS,25,93,342,389,131,68,33,9,21,94,103,41,,,6,,11,,21,,0.383,,,,,,,,,,,0.105,,,0.458,0.716,1.174,0.333,,,,,,,,,,0.519,53.9,103,48.5,8.0,12.5,-2.3,71.2,6.9,,7.8,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3.5,,25 - 25,52.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,125,,128,171,261,,,,,,,,,,,,,,,,,,,0,,,,,,6.9
1016512,1926,Mule Suttles,SLS,25,89,358,390,152,73,28,19,32,90,130,31,,,1,,7,,15,,0.425,,,,,,,,,,,0.079,,,0.472,0.877,1.349,0.453,,,,,,,,,,0.585,74.7,124,69.3,-10.0,12.5,-3.8,71.5,6.8,,6.9,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.8,2.3,,25 - 25,71.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,94,,132,210,355,,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1004893,1926,Goose Goslin,WAS,25,147,568,656,201,143,26,15,17,105,108,63,,38.0,7,,18,,8,8.0,0.354,,,,,,,,,,,0.096,0.057999999999999996,1.66,0.425,0.542,0.967,0.188,0.359,,,,,,,,,0.442,50.7,134,45.2,6.0,21.1,-5.2,68.8,6.6,,5.5,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-3.3,,25 - 25,41.9,5.0,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,105,95.0,117,133,162,118.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1009255,1926,Johnny Mostil,CHW,30,148,600,702,197,137,41,15,4,120,42,79,,55.0,10,,13,,35,14.0,0.328,,,,,,,,,,,0.113,0.078,1.44,0.415,0.467,0.882,0.138,0.357,,,,,,,,,0.411,36.8,126,31.2,10.0,22.6,-3.6,64.9,6.3,,7.6,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,-0.6,,30 - 30,30.6,5.4,,,,,,,,0.19699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,123,128.0,115,115,119,117.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
1014083,1926,Hack Wilson,CHC,26,142,529,613,170,105,36,8,21,97,109,69,,61.0,6,,9,,10,,0.321,,,,,,,,,,,0.113,0.1,1.13,0.406,0.539,0.944,0.217,0.333,,,,,,,,,0.43,41.6,119,41.2,0.0,19.7,-3.5,59.0,5.7,,5.4,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,0.9,,26 - 26,42.1,0.6,,,,,,,,0.24600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,147,163.0,117,135,196,111.0,,,,,,,,,,,,,,,,,,0,,,,,,5.7
1016700,1926,Willie Wells,SLS,21,84,279,330,104,75,12,4,13,66,64,50,,,1,,14,,16,,0.373,,,,,,,,,,,0.152,,,0.47,0.584,1.054,0.211,,,,,,,,,,0.48,35.6,78,31.1,8.0,10.6,5.0,58.0,5.6,,6.0,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.4,,21 - 21,33.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,180,,131,140,166,,,,,,,,,,,,,,,,,,,0,,,,,,5.6
1013597,1926,Paul Waner,PIT,23,144,536,618,180,115,35,22,8,101,79,66,,19.0,4,,12,,11,,0.336,,,,,,,,,,,0.107,0.031,3.47,0.413,0.528,0.941,0.192,0.338,,,,,,,,,0.429,41.4,120,36.9,4.0,19.9,-6.0,56.5,5.4,,6.2,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,1.0,,23 - 23,38.0,0.6,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,139,50.0,119,133,173,113.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1011766,1926,Joe Sewell,CLE,27,154,578,672,187,137,41,5,4,91,85,65,,6.0,8,,21,,17,7.0,0.324,,,,,,,,,,,0.09699999999999999,0.009000000000000001,10.83,0.399,0.433,0.832,0.109,0.322,,,,,,,,,0.391,24.5,110,15.8,5.0,21.6,9.5,56.0,5.4,,5.2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,-1.0,,27 - 27,14.7,5.1,,,,,,,,0.11199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,105,15.0,110,106,94,106.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
